"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 8/13/22, 9:43:05 AM"


30
X,Y
76.9811,4851.53,
77.5074,4450.56,
77.9940,4028.91,
78.4906,3481.66,
78.9871,2872.19,
79.5035,2369.41,
80,1941.71,
80.4866,1580.69,
80.9930,1253.09,
81.4896,1006.66,
81.9762,808.688,
82.4727,624.294,
82.9891,481.945,
83.4955,364.720,
84.0020,277.846,
84.5084,200.721,
85.0050,145.005,
85.4916,104.062,
85.9881,74.1852,
86.4945,52.8863,
87.0010,33.9047,
87.4975,23.6941,
87.9940,15.8069,
88.5005,11.4192,
88.9871,6.80539,
89.4935,3.48166,
89.9901,2.94945,
90.4866,1.38424,
90.9930,1.55985,
91.4796,0.554008,
